"https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","https://en.wikipedia.org/wiki/List_of_countries_and_dependencies_by_population","List of population milestones by country","List of population milestones by country","List of population milestones by country","List of population milestones by country","List of population milestones by country"
" -","Cura\195\167ao",155826,0.00200000,02/09/2023,2023,"",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
157,"Cyprus",918100,0.01000000,01/10/2021,2021,"[",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
86,"Czech Republic",10879069,0.10000000,30,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
15,"Democratic Republic of the Congo",105247000,1.30000000,1,"UN projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
114,"Denmark",5982117,0.07000000,01/09/2024,"National quarterly estimate","[",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
156,"Djibouti",1001454,0.01000000,1,"National projection ","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
186,"Dominica",67408,0.00080000,31/12/2017,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
87,"Dominican Republic",10760028,0.10000000,10/11/2022,2022,"",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
152,"East Timor",1373024,0.02000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
72,"Ecuador",16938986,0.20000000,01/10/2022,2022,"",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
14,"Egypt",105914499,1.30000000,01/01/2024,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
106,"El Salvador",6351000,0.08000000,30,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
150,"Equatorial Guinea",1558160,0.02000000,1,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
129,"Eritrea",3748902,0.05000000,1,"UN projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
151,"Estonia",1374687,0.02000000,01/01/2024,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
155,"Eswatini",1235549,0.02000000,1,"Official projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
13,"Ethiopia",109499000,1.30000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" -","Falkland Islands",3662,0,10/10/2021,2021,"",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" -","Faroe Islands",54908,0.00070000,1,"Monthly national estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
159,"Fiji",893468,0.01000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
115,"Finland",5628931,0.07000000,30/09/2024,"Monthly national estimate","[",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
20,"France",68513000,0.80000000,01/09/2024,"Monthly national estimate","[",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" -","French Polynesia",279890,0.00300000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
142,"Gabon",2408586,0.03000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
140,"Gambia",2417471,0.03000000,1,"National projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
130,"Georgia",3694600,0.05000000,01/01/2024,"Official estimate","[",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
19,"Germany",84708010,1.00000000,30,"National quarterly estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
45,"Ghana",33007618,0.40000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" -","Gibraltar",34003,0.00040000,1,"Official figure","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
90,"Greece",10413982,0.10000000,01/01/2023,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" -","Greenland",56865,0.00070000,1,"National quarterly estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
180,"Grenada",112579,0.00100000,1,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" -","Guam",153836,0.00200000,01/04/2020,2020,"",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
70,"Guatemala",17843132,0.20000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" -","Guernsey",64769,0.00080000,30/09/2023,"National quarterly estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
76,"Guinea",13261638,0.20000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
148,"Guinea-Bissau",1781308,0.02000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
161,"Guyana",772975,0.00900000,1,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
83,"Haiti",11743017,0.10000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
95,"Honduras",9892632,0.10000000,1,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" -","Hong Kong",7531800,0.09000000,30,"National estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
96,"Hungary",9584627,0.10000000,01/01/2024,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
172,"Iceland",386970,0.00500000,1,"National quarterly estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
" 1/2 ","India",1404910000,17.30000000,1,"Official projection","[",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
4,"Indonesia",282477584,3.50000000,31,"National annual projection","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
18,"Iran",85000000,1.00000000,16,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
35,"Iraq",44414800,0.50000000,1,"Official estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
120,"Ireland",5380300,0.07000000,01/04/2024,"National estimate","",<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>,<<ByteString>>
