city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,CONTINENT
Ingolstadt,Ingolstadt,48.7631,11.425,Germany,DE,DEU,Bavaria,minor,142308,1276803150,E
Preston,Preston,53.83,-2.735,United Kingdom,GB,GBR,Lancashire,,141801,1826018478,E
York,York,53.96,-1.08,United Kingdom,GB,GBR,York,,141685,1826149980,E
Lausanne,Lausanne,46.52,6.6333,Switzerland,CH,CHE,Vaud,admin,141418,1756055099,E
Piteşti,Pitesti,44.8606,24.8678,Romania,RO,ROU,Argeş,admin,141275,1642781938,E
Tarragona,Tarragona,41.1175,1.2528,Spain,ES,ESP,Catalonia,minor,141151,1724296961,E
Brest,Brest,48.39,-4.49,France,FR,FRA,Bretagne,minor,140993,1250882453,E
Coimbra,Coimbra,40.2111,-8.4289,Portugal,PT,PRT,Coimbra,admin,140816,1620166724,E
Middlesbrough,Middlesbrough,54.5767,-1.2355,United Kingdom,GB,GBR,Redcar and Cleveland,,140545,1826407067,E
Dos Hermanas,Dos Hermanas,37.2836,-5.9222,Spain,ES,ESP,Andalusia,,140430,1724272711,E
Pécs,Pecs,46.0708,18.2331,Hungary,HU,HUN,Baranya,admin,140330,1348611992,E
Reykjavík,Reykjavik,64.1458,-21.9425,Iceland,IS,ISL,Reykjavík,primary,139875,1352327190,E
Blackpool,Blackpool,53.8142,-3.0503,United Kingdom,GB,GBR,Blackpool,,139305,1826093175,E
Apeldoorn,Apeldoorn,52.21,5.97,Netherlands,NL,NLD,Gelderland,minor,138945,1528057552,E
Tours,Tours,47.3936,0.6892,France,FR,FRA,Centre-Val de Loire,minor,138668,1250635972,E
Vila Franca de Xira,Vila Franca de Xira,38.95,-8.9833,Portugal,PT,PRT,Lisboa,minor,137529,1620859041,E
Northampton,Northampton,52.2304,-0.8938,United Kingdom,GB,GBR,Northamptonshire,,137467,1826806747,E
Norrköping,Norrkoping,58.5919,16.1856,Sweden,SE,SWE,Östergötland,minor,137326,1752803583,E
Bacău,Bacau,46.5833,26.9167,Romania,RO,ROU,Bacău,admin,136087,1642838304,E
Maia,Maia,41.2333,-8.6167,Portugal,PT,PRT,Porto,minor,134977,1620000072,E
Parla,Parla,40.2372,-3.7742,Spain,ES,ESP,Madrid,,134833,1724153608,E
Amiens,Amiens,49.892,2.299,France,FR,FRA,Hauts-de-France,minor,134780,1250794759,E
Bern,Bern,46.948,7.4474,Switzerland,CH,CHE,Bern,primary,134506,1756374318,E
Sibiu,Sibiu,45.7928,24.1519,Romania,RO,ROU,Sibiu,admin,134308,1642393086,E
Brighton,Brighton,50.8208,-0.1375,United Kingdom,GB,GBR,Brighton and Hove,,134293,1826609057,E
Sale,Sale,53.424,-2.322,United Kingdom,GB,GBR,Trafford,,134022,1826016049,E
Famalicão,Famalicao,41.4144,-8.5222,Portugal,PT,PRT,Braga,minor,133832,1620202480,E
Ruda Śląska,Ruda Slaska,50.2628,18.8536,Poland,PL,POL,Śląskie,minor,133793,1616148566,E
Rybnik,Rybnik,50.0833,18.55,Poland,PL,POL,Śląskie,minor,133772,1616092098,E
Peristéri,Peristeri,38.0167,23.6833,Greece,GR,GRC,Attikí,minor,133630,1300302779,E
